id,summary,parent_interest_id,registered,published,updated_1,category,mnis_id,twfy_id,party,member,payment_received,received_date,job_title,payment_type,payment_description,value,hours_worked,hours_details,is_ultimate_payer_different,ultimate_payer_name,ultimate_payer_protected_by_confidentiality,ultimate_payer_address,ultimate_payer_nature_of_business,is_payment_donated,donatee_paid_by,donatee_type,donatee_details,link,category_code
12875,"Payment received on 09 July 2025 - £1,594.68",11413,2025-07-11,2025-07-11,,Employment and earnings - Ad hoc payments,5158,26361,independent,Rupert Lowe,1,,,Monetary,,1594.68,5,,0,,0,,,0,,,,https://interests-api.parliament.uk/api/v1/Interests/12875,1.1
12839,"Payment received on 30 June 2025 - £1,000.00",12619,2025-07-09,2025-07-09,,Employment and earnings - Ad hoc payments,146,10220,labour,Barry Gardiner,1,,,Monetary,,1000,25,estimated,0,,0,,,0,,,,https://interests-api.parliament.uk/api/v1/Interests/12839,1.1
12826,Payment received on 08 July 2025 - £180.00,12031,2025-07-08,2025-07-08,,Employment and earnings - Ad hoc payments,5158,26361,independent,Rupert Lowe,1,,,Monetary,,180,1,,0,,0,,,0,,,,https://interests-api.parliament.uk/api/v1/Interests/12826,1.1
12825,"Payment received on 27 June 2025 - £4,000.00",12266,2025-07-08,2025-07-08,,Employment and earnings - Ad hoc payments,4095,24916,conservative,Steve Barclay,1,,,Monetary,,4000,10.5,,0,,0,,,0,,,,https://interests-api.parliament.uk/api/v1/Interests/12825,1.1
12830,Payment received on 03 July 2025 - £84.48,4353,2025-07-08,2025-07-08,,Employment and earnings - Ad hoc payments,3991,24827,conservative,Jesse Norman,1,,,Monetary,,84.48,0,,1,Ulverscroft - Isis Publishing,0,"The Green, Bradgate Road, Anstey, Leicester, Leicestershire LE7 7FU",,0,,,,https://interests-api.parliament.uk/api/v1/Interests/12830,1.1
12818,Payment received on 10 June 2025 - £300.00,5774,2025-07-04,2025-07-07,,Employment and earnings - Ad hoc payments,4573,25579,labour,Dr Rosena Allin-Khan,1,,,Monetary,For my appearance on the Loose Women show,300,5,including preparation time,0,,0,,,0,,,,https://interests-api.parliament.uk/api/v1/Interests/12818,1.1
12819,Payment received on 03 July 2025 - £200.00,3694,2025-07-07,2025-07-07,,Employment and earnings - Ad hoc payments,152,10180,conservative,Sir Iain Duncan Smith,1,,,Monetary,Article published by The Express on 6th May 2025.,200,4,,0,,0,,,0,,,,https://interests-api.parliament.uk/api/v1/Interests/12819,1.1
12806,"Payment received on 28 March 2025 - £8,000.00",12175,2025-07-07,2025-07-07,,Employment and earnings - Ad hoc payments,4462,25374,conservative,Tom Tugendhat,1,,,Monetary,,8000,1,,1,Jefferies International Limited,0,"100 Bishopsgate, London EC2N 4JL",,0,,,,https://interests-api.parliament.uk/api/v1/Interests/12806,1.1
12809,"Payment received on 29 May 2025 - £2,000.00",11842,2025-07-06,2025-07-06,,Employment and earnings - Ad hoc payments,4020,24817,conservative,George Freeman,1,,,Monetary,,2000,2,Charged and received a one-off payment from The Guy Foundation for extra work undertaken,0,,0,,,0,,,,https://interests-api.parliament.uk/api/v1/Interests/12809,1.1
12810,"Payment received on 29 June 2025 - £3,000.00",11842,2025-07-06,2025-07-06,,Employment and earnings - Ad hoc payments,4020,24817,conservative,George Freeman,1,,,Monetary,,3000,2,Charged and received a one-off payment from The Guy Foundation for extra work undertaken,0,,0,,,0,,,,https://interests-api.parliament.uk/api/v1/Interests/12810,1.1
12811,"Payment received on 11 June 2025 - £2,000.00",11256,2025-07-06,2025-07-06,,Employment and earnings - Ad hoc payments,4020,24817,conservative,George Freeman,1,,,Monetary,,2000,2,Charged and received a one-off payment from Nighthawk Partners for extra work undertaken,0,,0,,,0,,,,https://interests-api.parliament.uk/api/v1/Interests/12811,1.1
12752,Payment received on 27 June 2025 - £180.00,12134,2025-06-30,2025-06-30,,Employment and earnings - Ad hoc payments,4938,26061,labour,Paulette Hamilton,1,,,Monetary,,180,6,,0,,0,,,0,,,,https://interests-api.parliament.uk/api/v1/Interests/12752,1.1
12750,Payment received on 20 June 2025 - £300.00,12134,2025-06-30,2025-06-30,,Employment and earnings - Ad hoc payments,4938,26061,labour,Paulette Hamilton,1,,,Monetary,,300,6,,0,,0,,,0,,,,https://interests-api.parliament.uk/api/v1/Interests/12750,1.1
12743,"Payment received on 25 June 2025 - £1,500.00",10669,2025-06-29,2025-06-30,,Employment and earnings - Ad hoc payments,4475,25272,reform,Suella Braverman,1,,Writing two articles for the LBC app/ website,Monetary,for two articles,1500,7,,0,,0,,,0,,,,https://interests-api.parliament.uk/api/v1/Interests/12743,1.1
12732,Payment received on 30 May 2025 - £800.00,12175,2025-06-30,2025-06-30,,Employment and earnings - Ad hoc payments,4462,25374,conservative,Tom Tugendhat,1,,,Monetary,Payment received for speaking at a dinner event.,800,3,(This is Used to offset office costs.),1,Emissary Partners,0,"29 Farm Street, London, W1J 5RL",Investment Advisors,0,,,,https://interests-api.parliament.uk/api/v1/Interests/12732,1.1
12741,"Payment received on 30 June 2025 - £10,377.02",4341,2025-06-29,2025-06-30,,Employment and earnings - Ad hoc payments,1466,11132,conservative,Dr Andrew Murrison,1,,,Monetary,,10377.02,184,,0,,0,,,0,,,,https://interests-api.parliament.uk/api/v1/Interests/12741,1.1
12742,"Payment received on 26 June 2025 - £3,625.00",9814,2025-06-29,2025-06-30,,Employment and earnings - Ad hoc payments,5116,26367,labour,Chris McDonald,1,,,Monetary,,3625,50,Approximately,0,,0,,,0,,,,https://interests-api.parliament.uk/api/v1/Interests/12742,1.1
12728,Payment received on 13 June 2025 - £250.00,4321,2025-06-27,2025-06-27,,Employment and earnings - Ad hoc payments,4084,24882,conservative,Esther McVey,1,,,Monetary,For one show.,250,2,,0,,0,,,0,,,,https://interests-api.parliament.uk/api/v1/Interests/12728,1.1
12726,Payment received on 29 May 2025 - £320.00,12725,2025-06-26,2025-06-26,,Employment and earnings - Ad hoc payments,4084,24882,conservative,Esther McVey,1,,,Monetary,For 8 interviews.,320,1.5,,0,,0,,,0,,,,https://interests-api.parliament.uk/api/v1/Interests/12726,1.1
12716,"Payment received on 26 June 2025 - £20,000.00",11008,2025-06-26,2025-06-26,,Employment and earnings - Ad hoc payments,1572,11859,conservative,Sir Jeremy Hunt,1,,Speaking engagement,Monetary,,20000,8,,1,Centerview Partners UK LLP,0,"10 Norwich Street, London EC4A 1BD",Investment Banking and Advisory Firm,0,,,,https://interests-api.parliament.uk/api/v1/Interests/12716,1.1
12620,"Payment received on 11 June 2025 - £1,050.10",11413,2025-06-26,2025-06-26,,Employment and earnings - Ad hoc payments,5158,26361,independent,Rupert Lowe,1,,,Monetary,,1050.1,5,,0,,0,,,0,,,,https://interests-api.parliament.uk/api/v1/Interests/12620,1.1
12722,Payment received on 26 June 2025 - £250.00,12721,2025-06-26,2025-06-26,,Employment and earnings - Ad hoc payments,1572,11859,conservative,Sir Jeremy Hunt,1,,Speaking engagement,Monetary,,250,2,,0,,0,,,0,,,,https://interests-api.parliament.uk/api/v1/Interests/12722,1.1
12720,"Payment received on 25 June 2025 - £1,341.75",11413,2025-06-26,2025-06-26,,Employment and earnings - Ad hoc payments,5158,26361,independent,Rupert Lowe,1,,,Monetary,,1341.75,5,,0,,0,,,0,,,,https://interests-api.parliament.uk/api/v1/Interests/12720,1.1
12706,"Payment received on 25 June 2025 - £3,056.23",6031,2025-06-25,2025-06-25,,Employment and earnings - Ad hoc payments,5197,26437,conservative,Dr Neil Shastri-Hurst,1,,,Monetary,(Includes 15% to be deducted on account of Chambers fees),3056.23,23,Approximate hours worked,1,Powell & Co,0,"Verbruggens House, Number One Street, Royal Woolwich Arsenal, London SE18 6HG",Solicitor,0,,,,https://interests-api.parliament.uk/api/v1/Interests/12706,1.1
12697,"Payment received on 20 June 2025 - £16,000.00",11008,2025-06-24,2025-06-24,,Employment and earnings - Ad hoc payments,1572,11859,conservative,Sir Jeremy Hunt,1,,Speaking engagement,Monetary,,16000,3.5,,1,Crowell and Moring UK LLP,0,"199 Bishopsgate, London, EC2M 3TY",International Law Firm,0,,,,https://interests-api.parliament.uk/api/v1/Interests/12697,1.1
12695,"Payment received on 12 June 2025 - £2,400.00",11008,2025-06-24,2025-06-24,,Employment and earnings - Ad hoc payments,1572,11859,conservative,Sir Jeremy Hunt,1,,Speaking engagement,Monetary,,2400,1,,1,Fabric Ventures LLP,0,"58 Wood Lane, London W12 7RZ",Venture Capital,0,,,,https://interests-api.parliament.uk/api/v1/Interests/12695,1.1
12701,"Payment received on 13 June 2025 - £4,387.27",4353,2025-06-24,2025-06-24,,Employment and earnings - Ad hoc payments,3991,24827,conservative,Jesse Norman,1,,,Monetary,,4387.27,0,,1,Citic Press Corporation,0,"8-10F Block, 2 Fusheng Bldg, A4 Huixin East Street, Beijing, 100029 China",Publisher,0,,,,https://interests-api.parliament.uk/api/v1/Interests/12701,1.1
12696,"Payment received on 12 June 2025 - £16,000.00",11008,2025-06-24,2025-06-24,,Employment and earnings - Ad hoc payments,1572,11859,conservative,Sir Jeremy Hunt,1,,Speaking engagement,Monetary,,16000,2,,1,MiP (Marketing in Partnership Ltd),0,"New London House, 172 Drury Lane, London WC2B 5QR",Event organisers,0,,,,https://interests-api.parliament.uk/api/v1/Interests/12696,1.1
12684,"Payment received on 12 June 2025 - £11,925.00",5988,2025-06-23,2025-06-23,,Employment and earnings - Ad hoc payments,5067,26346,labour,Tony Vaughan,1,,,Monetary,Payment for work carried out prior to 4th July 2024,11925,60,All work carried out prior to 4th July 2024,1,Confidential,0,Confidential,,0,,,,https://interests-api.parliament.uk/api/v1/Interests/12684,1.1
12678,Payment received on 18 June 2025 - £272.48,6031,2025-06-20,2025-06-20,,Employment and earnings - Ad hoc payments,5197,26437,conservative,Dr Neil Shastri-Hurst,1,,,Monetary,(Includes 15% to be deducted on account of Chambers' fees),272.48,3,Approximate number of hours worked,1,Thompsons Solicitors LLP,0,"Congress House, 26-28 Great Russell Street, London WC1B 3LW",Solicitors,0,,,,https://interests-api.parliament.uk/api/v1/Interests/12678,1.1
12650,"Payment received on 21 May 2025 - £21,250.00",12649,2025-06-18,2025-06-18,,Employment and earnings - Ad hoc payments,4366,25376,conservative,Sir James Cleverly,1,,,Monetary,,21250,30,"Preparation, research, briefing and travelling",1,Purus,0,"5th Floor, 30 Panton street, London, SW1Y 4AJ",Maritime services for gas transport and offshore wind industries,0,,,,https://interests-api.parliament.uk/api/v1/Interests/12650,1.1
12651,"Payment received on 21 May 2025 - £7,267.50",12649,2025-06-18,2025-06-18,,Employment and earnings - Ad hoc payments,4366,25376,conservative,Sir James Cleverly,1,,,Monetary,,7267.5,12,preparation,1,KPMG LLP,0,"15 Canada Square, London, E14 5GL","Multi National professional services network, providing audit, tax and advisory services.",0,,,,https://interests-api.parliament.uk/api/v1/Interests/12651,1.1
12665,Payment received on 16 June 2025 - £900.00,12101,2025-06-18,2025-06-18,,Employment and earnings - Ad hoc payments,146,10220,labour,Barry Gardiner,1,,,Monetary,various ad hoc media appearances,900,25,approximate depending on research required,0,,0,,,0,,,,https://interests-api.parliament.uk/api/v1/Interests/12665,1.1
12652,"Payment received on 30 May 2025 - £4,000.00",12266,2025-06-17,2025-06-17,,Employment and earnings - Ad hoc payments,4095,24916,conservative,Steve Barclay,1,,,Monetary,,4000,10.5,,0,,0,,,0,,,,https://interests-api.parliament.uk/api/v1/Interests/12652,1.1
12636,"Payment received on 31 May 2025 - £4,539.95",4341,2025-06-16,2025-06-16,,Employment and earnings - Ad hoc payments,1466,11132,conservative,Dr Andrew Murrison,1,,,Monetary,,4539.95,80,,0,,0,,,0,,,,https://interests-api.parliament.uk/api/v1/Interests/12636,1.1
12638,Payment received on 12 June 2025 - £250.00,3680,2025-06-16,2025-06-16,,Employment and earnings - Ad hoc payments,152,10180,conservative,Sir Iain Duncan Smith,1,,,Monetary,Article published on 16th May,250,4,,0,,0,,,0,,,,https://interests-api.parliament.uk/api/v1/Interests/12638,1.1
12634,Payment expected for services on 13 June 2025 - £150.00,12296,2025-06-16,2025-06-16,,Employment and earnings - Ad hoc payments,4500,25356,labour,Clive Lewis,0,,,Monetary,One article written,150,2,,0,,0,,,0,,,,https://interests-api.parliament.uk/api/v1/Interests/12634,1.1
12608,"Payment received on 06 June 2025 - £10,000.00",11622,2025-06-16,2025-06-16,,Employment and earnings - Ad hoc payments,4441,25323,conservative,Sir Oliver Dowden,1,,,Monetary,,10000,20,Up to two days per month,0,,0,,,0,,,,https://interests-api.parliament.uk/api/v1/Interests/12608,1.1
12624,Payment expected for services on 06 June 2025 - £150.00,12296,2025-06-13,2025-06-13,,Employment and earnings - Ad hoc payments,4500,25356,labour,Clive Lewis,0,,,Monetary,One article written,150,2,,0,,0,,,0,,,,https://interests-api.parliament.uk/api/v1/Interests/12624,1.1
12621,"Payment received on 03 June 2025 - £1,000.00",12619,2025-06-12,2025-06-13,,Employment and earnings - Ad hoc payments,146,10220,labour,Barry Gardiner,1,,,Monetary,,1000,20,For various seminars that I was asked to speak at and or chair,0,,0,,,0,,,,https://interests-api.parliament.uk/api/v1/Interests/12621,1.1
12614,"Payment received on 15 May 2025 - £156,435.24",12316,2025-06-11,2025-06-12,,Employment and earnings - Ad hoc payments,4483,25428,conservative,Rishi Sunak,1,,,Monetary,,156435.24,2.5,,1,Makena Capital,0,"Makena Capital Management LLP, 2755 Sand Hill Road, Suite 200, Menlo Park, CA 94025 USA",,0,,,,https://interests-api.parliament.uk/api/v1/Interests/12614,1.1
12615,"Payment received on 19 May 2025 - £188,476.20",12316,2025-06-11,2025-06-12,,Employment and earnings - Ad hoc payments,4483,25428,conservative,Rishi Sunak,1,,,Monetary,,188476.2,4,,1,Chosun Media,0,"The Chosunilbo, 30 Sejong-daero 21 gil, Jung-gu, Seoul, Korea",,0,,,,https://interests-api.parliament.uk/api/v1/Interests/12615,1.1
12618,"Payment received on 10 June 2025 - £2,250.00",10930,2025-06-12,2025-06-12,,Employment and earnings - Ad hoc payments,4475,25272,reform,Suella Braverman,1,,,Monetary,Articles,2250,9,,0,,0,,,0,,,,https://interests-api.parliament.uk/api/v1/Interests/12618,1.1
12605,Payment received on 11 June 2025 - £106.71,11502,2025-06-11,2025-06-11,,Employment and earnings - Ad hoc payments,4743,25894,reform,Lee Anderson,1,,,Monetary,,106.71,12,This is an estimated amount of hours,0,,0,,,0,,,,https://interests-api.parliament.uk/api/v1/Interests/12605,1.1
12611,Payment received on 13 May 2025 - £300.00,12609,2025-06-11,2025-06-11,,Employment and earnings - Ad hoc payments,4764,25856,labour,Bell Ribeiro-Addy,1,,,Monetary,,300,2,,0,,0,,,0,,,,https://interests-api.parliament.uk/api/v1/Interests/12611,1.1
12592,"Payment received on 16 May 2025 - £12,000.00",6922,2025-06-09,2025-06-09,,Employment and earnings - Ad hoc payments,1508,11541,conservative,Sir Geoffrey Cox,1,,,Monetary,,12000,10,Work undertaken between 1 October and 12 December 2024,0,,0,,,0,,,,https://interests-api.parliament.uk/api/v1/Interests/12592,1.1
12590,"Payment received on 05 June 2025 - £1,200.00",6031,2025-06-07,2025-06-09,,Employment and earnings - Ad hoc payments,5197,26437,conservative,Dr Neil Shastri-Hurst,1,,,Monetary,(Includes 15% to be deducted on account of Chamebrs' fees),1200,6,Approximate number of hours work,1,Talbots Law Limited,0,"23 Foregate Street, Worcester WR1 1DN",Solicitors,0,,,,https://interests-api.parliament.uk/api/v1/Interests/12590,1.1
12584,"Payment received on 29 May 2025 - £1,203.96",11413,2025-06-06,2025-06-06,,Employment and earnings - Ad hoc payments,5158,26361,independent,Rupert Lowe,1,,,Monetary,,1203.96,5,,0,,0,,,0,,,,https://interests-api.parliament.uk/api/v1/Interests/12584,1.1
12577,"Payment received on 03 June 2025 - £1,333.33",4308,2025-06-05,2025-06-05,,Employment and earnings - Ad hoc payments,4084,24882,conservative,Esther McVey,1,,,Monetary,for four articles in the Daily Express.,1333.33,8,,0,,0,,,0,,,,https://interests-api.parliament.uk/api/v1/Interests/12577,1.1
12578,Payment received on 05 June 2025 - £300.00,11234,2025-06-05,2025-06-05,,Employment and earnings - Ad hoc payments,4480,25308,labour,Carolyn Harris,1,,,Monetary,,300,7,,0,,0,,,0,,,,https://interests-api.parliament.uk/api/v1/Interests/12578,1.1
