id,category,end_date,has_sought_acoba_advice,is_paid_as_director_of_payer,is_until_further_notice,job_title,link,member,mnis_id,parent_interest_id,payer_is_private_individual,payer_name,payer_nature_of_business,payer_public_address,published,registered,source_archive,start_date,summary,twfy_id,updated_1,updated_2,updated_3,updated_4,updated_5,updated_6,updated_7
4205,Employment and earnings,,,False,False,Writing an article,https://interests-api.parliament.uk/api/v1/Interests/4205,David Davis,373,,False,ANMFS LTD (Mail Group),,"Northcliffe House, 2 Derry Street, Kensington, London W8 5TT",2024-03-16,,Apr07_25,,Writing an article,,,,,,,,
4045,Employment and earnings,,,False,False,Councillor,https://interests-api.parliament.uk/api/v1/Interests/4045,Andrew Western,4979,,False,Trafford Council,,"Talbot Road, Stretford M32 0TH",2024-03-16,,Apr07_25,,Councillor,,,,,,,,
3938,Employment and earnings,,,False,False,Speaking engagements,https://interests-api.parliament.uk/api/v1/Interests/3938,Mr David Lammy,206,,False,The Speaking Office,,"Unit 31 Highbury Studios, 10 Hornsey Street, London N7 8EL",2024-03-16,,Apr07_25,,Speaking engagements,,2021-04-15,,,,,,
5236,Employment and earnings,2021-06-06,,False,True,Locum Pharmacist for Tesco,https://interests-api.parliament.uk/api/v1/Interests/5236,Taiwo Owatemi,4779,,False,Tesco,,"Shire Park, Kestrel Way, Welwyn Garden City AL7 1GA",2024-03-15,2021-06-07,Apr07_25,2021-06-05,Locum Pharmacist for Tesco - Tesco,,2024-05-16,,,,,,
3704,Employment and earnings,,,False,False,Writing an article,https://interests-api.parliament.uk/api/v1/Interests/3704,Rosie Duffield,4616,,False,UnHerd,,"6 Old Queen Street, London SW1H 9HP",2024-03-13,,Apr07_25,,Writing an article - UnHerd,,,,,,,,
3723,Employment and earnings,,,False,False,Presenting radio shows on LBC,https://interests-api.parliament.uk/api/v1/Interests/3723,Mr David Lammy,206,,False,Independent Talent Group,,"40 Whitfield Street, Bloomsbury, London W1T 2RH",2024-03-13,,Apr07_25,,Presenting radio shows on LBC - Independent Talent Group,,,,,,,,
4860,Employment and earnings,2024-04-25,,False,True,Commissioner of the Key Worker Homes Fund,https://interests-api.parliament.uk/api/v1/Interests/4860,Paul Holmes,4803,,False,Skyroom London Ltd,,"25 Moorgate, London EC2R 6AY",2021-03-26,,Apr07_25,,Commissioner of the Key Worker Homes Fund - Skyroom London Ltd,,,,,,,,
9112,Employment and earnings,2024-07-04,,False,True,Member,https://interests-api.parliament.uk/api/v1/Interests/9112,Sean Woodcock,5328,,False,Cherwell District Council,Local Authority,"Bodicote House, White Post Road, Bodicote, Banbury, Oxon OX15 4BN",2024-08-04,2024-08-01,Aug04_24,,Member - Cherwell District Council,,,,,,,,
9956,Employment and earnings,2024-09-11,,False,True,Consultant,https://interests-api.parliament.uk/api/v1/Interests/9956,Victoria Collins,5201,,False,Daggerwing Group Limited,Consultancy services,"Bankside 3, 90 - 100 Southwark Street, London SE1 0SW",2024-08-04,2024-08-04,Aug04_24,,Consultant - Daggerwing Group Limited,,,,,,,,
6866,Employment and earnings,,,False,False,Councillor,https://interests-api.parliament.uk/api/v1/Interests/6866,Will Stone,5035,,False,Swindon Borough council,,"Civic Offices, Euclid St, Swindon SN12JH",2024-07-22,2024-07-22,Aug04_24,,Councillor - Swindon Borough council,,,,,,,,
6093,Employment and earnings,,,False,False,Councillor,https://interests-api.parliament.uk/api/v1/Interests/6093,Mr Richard Quigley,5144,,False,Isle of Wight Council,,"County Hall High Street, Newport IW PO30 1UD",2024-07-17,2024-07-11,Aug04_24,,Councillor - Isle of Wight Council,,,,,,,,
6145,Employment and earnings,2024-07-05,,False,True,Councillor,https://interests-api.parliament.uk/api/v1/Interests/6145,Sean Woodcock,5328,,False,Cherwell District Council,Local Authority,"Bodicote House, White Post Road, Bodicote, Banbury, OX15 4AA",2024-07-11,2024-07-11,Aug04_24,,Councillor - Cherwell District Council,,,,,,,,
3799,Employment and earnings,,,False,False,Appearances on Talk TV,https://interests-api.parliament.uk/api/v1/Interests/3799,Sir Alec Shelbrooke,3997,,False,News UK,,"PO Box 151, Peterborough PE7 8YT",2024-03-18,,Aug04_24,,Appearances on Talk TV,,,,,,,,
4288,Employment and earnings,,,False,False,Recording podcast episodes,https://interests-api.parliament.uk/api/v1/Interests/4288,Clive Lewis,4500,,False,Persephonica Ltd,,"DS House, 306 High Street, Croydon CR0 1NG",2024-03-18,,Aug04_24,,Recording podcast episodes,,,,,,,,
4400,Employment and earnings,,,False,False,Hosting an LBC show,https://interests-api.parliament.uk/api/v1/Interests/4400,Angela Rayner,4356,,False,Global Radio Services Limited,,"30 Leicester Square, London WC2H 7LA",2024-03-18,,Aug04_24,,Hosting an LBC show,,,,,,,,
4106,Employment and earnings,,,False,False,Surveys,https://interests-api.parliament.uk/api/v1/Interests/4106,Sammy Wilson,1593,,False,YouGov,,"50 Featherstone Street, London EC1Y 8RT",2024-03-18,,Aug04_24,,Surveys,,,,,,,,
3894,Employment and earnings,,,False,False,Speaking at the Edinburgh International Book Festival,https://interests-api.parliament.uk/api/v1/Interests/3894,Chris Bryant,1446,,False,Edinburgh International Book Festival,,"121 George Street, Edinburgh EH2 4YN",2024-03-18,,Aug04_24,,Speaking at the Edinburgh International Book Festival,,,,,,,,
4972,Employment and earnings,,,False,False,Marketing advice,https://interests-api.parliament.uk/api/v1/Interests/4972,Mark Pritchard,1576,,False,Redway AG,An engineering and technical services company and a client of MAP Advisory Ltd.,"Oberer Graben 4-6, 9001, St Gallen, Switzerland",2024-03-18,2024-01-17,Aug04_24,,Marketing advice,,,,,,,,
4349,Employment and earnings,,,False,False,Panellist,https://interests-api.parliament.uk/api/v1/Interests/4349,Caroline Nokes,4048,,False,News UK & Ireland Limited,,"PO Box 151, Peterborough PE7 8YT",2024-03-18,,Aug04_24,,Panellist,,,,,,,,
4085,Employment and earnings,,,False,False,Surveys,https://interests-api.parliament.uk/api/v1/Interests/4085,Sammy Wilson,1593,,False,Savanta ComRes,,"3 Melville Street, Edinburgh EH3 7PE",2024-03-18,,Aug04_24,,Surveys,,,,,,,,
4379,Employment and earnings,,,False,False,Broadcast appearance,https://interests-api.parliament.uk/api/v1/Interests/4379,Lucy Powell,4263,,False,ITV Studios,,"Orange Tower, MediaCity UK, Manchester M50 2HE",2024-03-18,,Aug04_24,,Broadcast appearance,,,,,,,,
4967,Employment and earnings,,,False,False,Market research services,https://interests-api.parliament.uk/api/v1/Interests/4967,Mark Pritchard,1576,,False,39th Street Strategies LLC,,"9801 67th Avenue, New York, USA",2024-03-18,,Aug04_24,,Market research services,,,,,,,,
4120,Employment and earnings,,,False,False,Delivering a development programme session,https://interests-api.parliament.uk/api/v1/Interests/4120,Dawn Butler,1489,,False,Eden & Partners Ltd,,"50 Broadway, London SW1H 0RG",2024-03-18,,Aug04_24,,Delivering a development programme session,,,,,,,,
4087,Employment and earnings,,,False,False,Surveys,https://interests-api.parliament.uk/api/v1/Interests/4087,Sammy Wilson,1593,,False,Yonder Consulting,,"Northburgh House, 10 Northburgh Street, London EC1V 0AT",2024-03-18,,Aug04_24,,Surveys,,,,,,,,
4830,Employment and earnings,,,False,False,Television appearance,https://interests-api.parliament.uk/api/v1/Interests/4830,Barry Gardiner,146,,False,GB News,,"Riverbank House, 2 Swan Lane, London EC4R 3TT",2024-03-18,,Aug04_24,,Television appearance,,,,,,,,
3885,Employment and earnings,,,False,False,Presenting a show,https://interests-api.parliament.uk/api/v1/Interests/3885,Chris Bryant,1446,,False,Global Radio,,"30 Leicester Square, London WC2H 7LA",2024-03-18,,Aug04_24,,Presenting a show,,,,,,,,
4133,Employment and earnings,,,False,False,Appearing on a podcast,https://interests-api.parliament.uk/api/v1/Interests/4133,Dawn Butler,1489,,False,Multicultural Marketing Consultancy,,"311 Regents Park Road, London N3  1DP",2024-03-18,,Aug04_24,,Appearing on a podcast - Multicultural Marketing Consultancy,,,,,,,,
3778,Employment and earnings,,,False,False,Teaching,https://interests-api.parliament.uk/api/v1/Interests/3778,Michael Shanks,4998,,False,Renfrewshire Council,,"Renfrewshire House, Cotton Street, Paisley PA1 1AD",2024-03-18,,Aug04_24,,Teaching,,,,,,,,
4122,Employment and earnings,,,False,False,Writing a book,https://interests-api.parliament.uk/api/v1/Interests/4122,Dawn Butler,1489,,False,Arlington Enterprises,Talent agency,"37 Great Portland Street, London  W1W 8QH",2024-03-18,,Aug04_24,,Writing a book - Arlington Enterprises,,,,,,,,
4847,Employment and earnings,,True,False,False,President,https://interests-api.parliament.uk/api/v1/Interests/4847,Sir John Hayes,350,,False,HBSA,technical and vocational education,"Burton and South Derbyshire College, Lichfield Road, Burton on Trent DE14 3RL",2024-03-18,,Aug04_24,2018-05-29,President - HBSA,,,,,,,,
4671,Employment and earnings,2023-11-13,,False,True,Member of the Independent Advisory Board,https://interests-api.parliament.uk/api/v1/Interests/4671,Saqib Bhatti,4818,,False,"House Magazine, Dods Group",,"11th Floor, The Shard, 32 London Bridge Street, London SE1 9SG",2024-03-18,2021-04-28,Aug04_24,2021-04-21,Member of the Independent Advisory Board,,,,,,,,
4129,Employment and earnings,,,False,False,Appearing on a panel,https://interests-api.parliament.uk/api/v1/Interests/4129,Dawn Butler,1489,,False,DC Thompson Ltd,,"Meadowside, 2 Albert Square, Dundee DD1 1DD",2024-03-18,,Aug04_24,,Appearing on a panel,,,,,,,,
3880,Employment and earnings,,,False,False,Writing articles,https://interests-api.parliament.uk/api/v1/Interests/3880,Chris Bryant,1446,,False,Reach Shared Services Limited,,"3rd Floor, 5 St Paul's Square, Liverpool L3 9SJ",2024-03-18,,Aug04_24,,Writing articles,,,,,,,,
4969,Employment and earnings,2024-01-31,,False,True,Marketing Counsel,https://interests-api.parliament.uk/api/v1/Interests/4969,Mark Pritchard,1576,,False,Focal Point Energy LLC,energy investment and development,"1250 Wood Branch Park Drive, Suite 490, Houston, TX, 77079, USA",2024-03-18,,Aug04_24,2023-01-01,Marketing Counsel - Focal Point Energy LLC,,,,,,,,
4331,Employment and earnings,,,False,False,Speaking at an event,https://interests-api.parliament.uk/api/v1/Interests/4331,Esther McVey,4084,,False,Lyrical Communications Ltd,,"Southwark Street, Suite 24-26 the Hop Exchange, London SE1 1TY",2024-03-18,,Aug04_24,,Speaking at an event - Lyrical Communications Ltd,,,,,,,,
3935,Employment and earnings,,,False,False,Coronation coverage,https://interests-api.parliament.uk/api/v1/Interests/3935,Mr David Lammy,206,,False,BBC,,"2nd floor, Zone C, 1 Television Centre, 101 Wood Lane, London W12 7FA",2024-03-16,,Aug04_24,,Coronation coverage,,,,,,,,
4200,Employment and earnings,,True,False,False,Chairman of the Supervisory Board,https://interests-api.parliament.uk/api/v1/Interests/4200,David Davis,373,,False,Kohlgartenstrasse,a German real estate company,"15 Verwaltungs AG, Bahnhofstrasse 8a, 15806 Zossen, Germany",2024-03-16,,Aug04_24,,Chairman of the Supervisory Board,,,,,,,,
4239,Employment and earnings,,,False,False,Senior Public Affairs Adviser,https://interests-api.parliament.uk/api/v1/Interests/4239,Keir Mather,4993,,False,Confederation of British Industry,,"78 Cannon Street, London EC4N 6HN",2024-03-16,,Aug04_24,,Senior Public Affairs Adviser,,,,,,,,
4126,Employment and earnings,,,False,False,Attending a caucus,https://interests-api.parliament.uk/api/v1/Interests/4126,Dawn Butler,1489,,False,Each One Teach One,education and empowerment organisation,"Togostraße 76, 13351 Berlin, Germany",2024-03-16,,Aug04_24,,Attending a caucus,,,,,,,,
3758,Employment and earnings,,,False,False,Being a panellist on a news bulletin.,https://interests-api.parliament.uk/api/v1/Interests/3758,Carolyn Harris,4480,,False,Talk TV,,"PO Box 151, Peterborough PE7 8YT",2024-03-13,,Aug04_24,,Being a panellist on a news bulletin.,,,,,,,,
3764,Employment and earnings,,,False,False,Speaking engagement,https://interests-api.parliament.uk/api/v1/Interests/3764,Carolyn Harris,4480,,False,LNRS Data Services Ltd,business information data and marketing solutions provider,"Quadrant House, The Quadrant, Sutton SM2 5AS",2024-03-13,,Aug04_24,,Speaking engagement,,,,,,,,
10644,Employment and earnings,2024-08-30,False,False,True,Local councillor,https://interests-api.parliament.uk/api/v1/Interests/10644,Elaine Stewart,5206,,False,East Ayrshire council,Local authority,London road Kilmarnock KA37DD,2024-09-30,2024-09-05,Dec09_24,2022-05-05,Local councillor - East Ayrshire council,,,,,,,,
10921,Employment and earnings,,,False,False,Research Interview,https://interests-api.parliament.uk/api/v1/Interests/10921,Dame Caroline Dinenage,4008,,False,Ipsos Mori,Market research and public opinion polling,"3 Thomas More St, London E1W 1YW",2024-10-09,2024-10-08,Nov11_24,,Research Interview - Ipsos Mori,,,,,,,,
