id,appg,category,donors_isprivateindividual_1,donors_isprivateindividual_2,donors_isprivateindividual_3,donors_isprivateindividual_4,donors_isprivateindividual_5,donors_issolebeneficiary_1,donors_issolebeneficiary_2,donors_issolebeneficiary_3,donors_issolebeneficiary_4,donors_issolebeneficiary_5,donors_name_1,donors_name_2,donors_name_3,donors_name_4,donors_name_5,donors_paymentdescription_1,donors_paymentdescription_2,donors_paymentdescription_3,donors_paymentdescription_4,donors_paymentdescription_5,donors_paymenttype_1,donors_paymenttype_2,donors_paymenttype_3,donors_paymenttype_4,donors_paymenttype_5,donors_publicaddress_1,donors_publicaddress_2,donors_publicaddress_3,donors_publicaddress_4,donors_publicaddress_5,donors_value_1,donors_value_2,donors_value_3,donors_value_4,donors_value_5,end_date,link,member,mnis_id,parent_interest_id,published,purpose,registered,source_archive,start_date,summary,twfy_id,updated_1,visitlocations_country_1,visitlocations_country_2,visitlocations_country_3,visitlocations_destination_1,visitlocations_destination_2,visitlocations_destination_3
9331,,Visits outside the UK,False,,,,,True,,,,,StopAids,,,,,Day Pass to AIDS 2024 Conference (USD 595),,,,,In kind,,,,,"167-169 Great Portland Street, 5th Floor, London W1W 5PF",,,,,467.11,,,,,2024-07-25,https://interests-api.parliament.uk/api/v1/Interests/9331,David Mundell,1512,,2024-08-04,Attending AIDS 2024 Conference,2024-08-02,Apr07_25,2024-07-23,International visit to Germany between 23 July 2024 and 25 July 2024,,,Germany,,,,,
9496,,Visits outside the UK,False,False,False,False,False,True,True,True,True,True,The Turkish Cypriot Chamber of Commerce,Cyprus Premier,The Arkin Group,The British Residents Society,Turkish Airlines,"Flights: £500 (Cyprus Premier)
Accommodation (for three nights): £300 (The Arkin Group)
Subsistence (across three days): £350 (The Turkish Cypriot Chamber of Commerce, the British Residents Society, Turkish Airlines).
Total: £1,150","Flights: £500 (Cyprus Premier)
Accommodation (for three nights): £300 (The Arkin Group)
Subsistence (across three days): £350 (The Turkish Cypriot Chamber of Commerce, the British Residents Society, Turkish Airlines).
Total: £1,150","Flights: £500 (Cyprus Premier)
Accommodation (for three nights): £300 (The Arkin Group)
Subsistence (across three days): £350 (The Turkish Cypriot Chamber of Commerce, the British Residents Society, Turkish Airlines).
Total: £1,150","Flights: £500 (Cyprus Premier)
Accommodation (for three nights): £300 (The Arkin Group)
Subsistence (across three days): £350 (The Turkish Cypriot Chamber of Commerce, the British Residents Society, Turkish Airlines).
Total: £1,150","Flights: £500 (Cyprus Premier)
Accommodation (for three nights): £300 (The Arkin Group)
Subsistence (across three days): £350 (The Turkish Cypriot Chamber of Commerce, the British Residents Society, Turkish Airlines).
Total: £1,150",In kind,In kind,In kind,In kind,In kind,"90 Bedrettin Demirel Caddesi Yenişehir, Lefkoşa","239-241 Kennington Ln, London SE11 5QU","P.O. Box : 309 Girne- Kıbrıs, 99300","Mustafa Cagatay Avenue, Girne","Istanbul Atatürk Airport, Yeşilköy, Bakırköy, Istanbul, Türkiye",1150.00,1150.00,1150.00,1150.00,1150.00,2024-02-11,https://interests-api.parliament.uk/api/v1/Interests/9496,David Reed,5347,,2024-08-04,"Parliamentary fact-finding delegation to learn about the political system, history, culture, and economy in Northern Cyprus.",2024-08-02,Apr07_25,2024-02-08,International visit to Cyprus between 08 February 2024 and 11 February 2024,,,Cyprus,,,Northern Cyprus,,
10168,,Visits outside the UK,True,,,,,False,,,,,Mr Christopher Harborne,,,,,Flights and accommodation for me and one staffer,,,,,In kind,,,,,,,,,,32836.00,,,,,2024-07-19,https://interests-api.parliament.uk/api/v1/Interests/10168,Nigel Farage,5091,,2024-08-04,To support a friend who was almost killed and to represent Clacton on the world stage.,2024-08-04,Apr07_25,2024-07-17,International visit to United States between 17 July 2024 and 19 July 2024,26352,,United States,,,,,
9305,,Visits outside the UK,False,,,,,True,,,,,Progressive Policy Institute,,,,,"flights, accommodation and meals",,,,,In kind,,,,,"1919 M Street NW, Suite 300, Washington DC 20036 USA",,,,,7856.00,,,,,2024-01-19,https://interests-api.parliament.uk/api/v1/Interests/9305,Lucy Rigby,5333,,2024-08-04,Comparative policy analysis between the UK and the US,2024-08-02,Apr07_25,2024-01-14,International visit to United States between 14 January 2024 and 19 January 2024,,,United States,,,,,
8931,,Visits outside the UK,True,,,,,False,,,,,George Cottrell,,,,,Return travel and accommodation for Mr Farage and one staffer and security provision,,,,,In kind,,,,,,,,,,9253.60,,,,,2024-04-17,https://interests-api.parliament.uk/api/v1/Interests/8931,Nigel Farage,5091,,2024-08-04,To speak at a conference,2024-08-04,Apr07_25,2024-04-16,International visit to Belgium between 16 April 2024 and 17 April 2024,26352,,Belgium,,,,,
9159,,Visits outside the UK,False,,,,,True,,,,,Progressive Policy Institute,,,,,"Flights, accommodation and meals",,,,,In kind,,,,,"1919 M Street Northwest, Suite 300 Washington DC, 20036 USA",,,,,7856.00,,,,,2024-01-19,https://interests-api.parliament.uk/api/v1/Interests/9159,Kirsty McNeill,5114,,2024-08-04,"Comparative policy analysis between the UK and US, co-organised by Progressive Britain",2024-08-01,Apr07_25,2024-01-14,International visit to United States between 14 January 2024 and 19 January 2024,,,United States,,,,,
9427,,Visits outside the UK,False,,,,,True,,,,,Progressive Policy Institute,,,,,"flights, accommodation and meals",,,,,In kind,,,,,"1919 M Street, Northwest Suite, 300 Washington DC 20036, United States",,,,,7856.00,,,,,2024-01-21,https://interests-api.parliament.uk/api/v1/Interests/9427,Satvir Kaur,5271,,2024-08-04,Comparative policy analysis between the UK and US,2024-08-02,Apr07_25,2024-01-14,International visit to United States between 14 January 2024 and 21 January 2024,,,United States,,,,,
9321,,Visits outside the UK,False,,,,,True,,,,,Progressive Policy Institute,,,,,"Flights, accommodation and meals",,,,,In kind,,,,,"1919 M Street Northwest, Suite 300, Washington DC, 20036 United States",,,,,7856.00,,,,,2024-01-19,https://interests-api.parliament.uk/api/v1/Interests/9321,Mike Tapp,5266,,2024-08-02,Policy analysis meetings and comparisons between the UK and US.,2024-08-02,Apr07_25,2024-01-14,International visit to United States between 14 January 2024 and 19 January 2024,,,United States,,,,,
9148,,Visits outside the UK,False,,,,,True,,,,,The Gates Foundation,,,,,"Flight (£1080.41), accommodation (£706.50), meals (£342.17), DBS and Visa (£67.78)",,,,,In kind,,,,,"B323, 62 Buckingham Gate, London SW1E 6QW",,,,,2196.86,,,,,2023-07-27,https://interests-api.parliament.uk/api/v1/Interests/9148,Fred Thomas,5174,,2024-08-02,"To demonstrate the impact UK Aid has in communities in Jordan and its security role within the region, especially through its refugee programme.",2024-08-02,Apr07_25,2023-07-23,International visit to Jordan between 23 July 2023 and 27 July 2023,,,Jordan,,,,,
9015,,Visits outside the UK,False,,,,,True,,,,,Gates Foundation via the Coalition for Global Prosperity,,,,,"Hotel, flights and meals",,,,,In kind,,,,,"B323, 62 Buckingham Gate, London SW1E 6QW",,,,,2196.86,,,,,2024-07-27,https://interests-api.parliament.uk/api/v1/Interests/9015,Helena Dollimore,5192,,2024-08-01,"Visit to Jordan hosted by Gates Foundation via the Coalition for Global Prosperity to demonstrate the impact UK Aid has in communities in Jordan and its security role within the region, especially through its refugee programme.",2024-08-01,Apr07_25,2023-07-23,International visit to Jordan between 23 July 2023 and 27 July 2024,,,Jordan,,,Amman and Zaatari refugee camp,,
